ds100,name,lat,lon,elevation_m
MAMS,Augsburg Morellstraße,48.355178,10.8930876,494.0
MWHN,Walleshausen,48.1502283,10.9810455,563.0
MWH,Weilheim (Oberbayern),47.8452213,11.1430287,562.0
MMAH,Mindelaltheim,48.4562071,10.4077166,448.0
MFHD,Freihalden,48.3844694,10.5025,499.0
MBGU,Burgau (Schwab),48.4251243,10.4268158,457.0
TWER,Wernau (Neckar),48.6943119,9.4139091,254.0
TE,Esslingen (Neckar),48.7385898,9.3003518,238.0
MM,Memmingen,47.985407,10.1869867,599.0
MGNZ,Günzach,47.819606,10.4390919,802.0
MKFG,Kaufering,48.0812007,10.8548739,593.0
MLLS,Landsberg (Lech) Schule,48.0535972,10.8694838,599.0
MSHN,Schrobenhausen,48.5654031,11.2594688,418.0
MSDF,Schondorf,48.0526616,11.0899427,564.0
MDIN,Dießen,47.9502678,11.1080486,536.0
MNHN,Nonnenhorn,47.5752782,9.6124649,408.0
MWBG,Wasserburg (Bodensee),47.5718803,9.6389822,413.0
MLI,Lindau-Insel,47.544202,9.6808298,400.0
MEST,Eichstätt Stadt,48.8935574,11.1794636,388.0
MRH,Rebdorf-Hofmühle,48.892216,11.1694871,397.0
MWAS,Wasserzell (b Eichstätt),48.8753722,11.1679723,403.0
MRBI,Rohrbach (Ilm),48.6063422,11.5733318,399.0
MAD,Adelschlag,48.8407131,11.2115406,441.0
MUS,Übersee,47.8220816,12.487299,526.0
MBEF,Bad Endorf (Oberbay),47.9048551,12.3018108,526.0
MAG,Aßling (Oberbayern),47.9895751,11.9935104,512.0
MHUG,Huglfing,47.77679,11.1405351,595.0
NMLZ,Martinlamitz,50.2152727,11.9504078,527.0
NMH,Marktleuthen,50.1306366,12.0130957,546.0
NROE,Röslau,50.0750486,11.9942343,584.0
NHOB,Wunsiedel-Holenbrunn,50.0510947,12.0338916,562.0
NMR,Marktredwitz,50.0044648,12.082401,538.0
NWDO,Weiden (Oberpf),49.6704625,12.1539802,398.0
NWB,Windischeschenbach,49.7944371,12.1653334,426.0
MMW,Mittenwald,47.4399924,11.265749,916.0
MKLA,Klais,47.4830341,11.2384212,933.0
MGP,Garmisch-Partenkirchen,47.4915407,11.0970176,707.0
MECH,Eschenlohe,47.6017819,11.187959,639.0
MOU,Oberau,47.5596144,11.1393003,654.0
NRGF,Regenstauf,49.1220574,12.1251367,342.0
NIR,Irrenlohe,49.362762,12.1013364,372.0
NPOI,Poikam,48.9317295,12.0140394,353.0
MNBK,Neuburg (Kammel),48.3028573,10.3656838,488.0
MKRB,Krumbach (Schwaben),48.2475721,10.3585293,511.0
MBRN,Breitenbrunn (Schwab),48.1386092,10.4084655,548.0
MPFH,Pfaffenhausen,48.117728,10.4519704,563.0
MHNS,Hausen (Schwab),48.100783,10.4829682,572.0
MNBN,Nassenbeuren,48.078171,10.5037667,587.0
MMH,Mindelheim,48.0449169,10.5016383,609.0
MNRU,Niederraunau,48.2213035,10.3745441,522.0
MDFN,Dorfen Bahnhof,48.2671047,12.1598381,450.0
MLDI,Landau (Isar),48.6828553,12.6950655,339.0
NPA,Passau Hbf,48.5737124,13.4504744,304.0
MWEI,Weichering,48.7206641,11.3304832,373.0
MRFD,Rohrenfeld,48.7212768,11.2590305,382.0
NAN,Ansbach,49.2979431,10.5777328,410.0
NON,Oberdachstetten,49.4179773,10.4237258,443.0
NWIN,Windsbach,49.2496872,10.8256999,387.0
NNST,Nürnberg-Stein,49.4252777,11.0176745,315.0
NTF,Triesdorf,49.2002517,10.6800339,433.0
NGUN,Gunzenhausen,49.1206793,10.7556064,419.0
FDE,Darmstadt-Eberstadt,49.8144694,8.6259571,115.0
FBI,Bickenbach (Bergstraße),49.7604953,8.6036351,101.0
FBAU,Bensheim-Auerbach,49.7016019,8.6132493,101.0
FBH,Bensheim,49.680791,8.616808,102.0
RHCH,Hemsbach,49.5910776,8.6487431,100.0
RDUN,Durmersheim Nord,48.9377105,8.2804795,120.0
RDRM,Durmersheim,48.9286309,8.2724003,119.0
RBIE,Bietigheim,48.9105348,8.2580046,122.0
ROH,Ötigheim,48.8885741,8.2405252,122.0
RBSN,Baiersbronn,48.5036975,8.3720364,547.0
RRT,Röt,48.5557083,8.3974067,499.0
RHUB,Huzenbach,48.5826359,8.3912653,479.0
RSW,Schwarzenberg,48.5988352,8.3837041,481.0
NGET,Geigant,49.3234133,12.6815188,503.0
NWIG,Willmering,49.2465972,12.6701742,377.0
NKU,Kulmbach,50.109855,11.4518382,305.0
HWIS,Wissingen,52.2585366,8.2039781,76.0
BTGN,Tiergarten,52.5143746,13.3364504,39.0
HWTH,Westerhausen,52.2361633,8.2791163,78.0
HBDE,Bünde (Westf),52.202246,8.5743329,67.0
HKLG,Kirchlengern,52.1967257,8.6439681,65.0
HAMI,Hannover Anderten/Misburg,52.369173,9.8607771,65.0
HLER,Lehrte,52.3764871,9.9742264,63.0
HMRS,Meinersen,52.4492981,10.3217888,59.0
RRA,Rastatt,48.8605562,8.2156411,122.0
BSTO,Storkower Straße,52.5237432,13.4648885,50.0
RBUE,Bühl (Baden),48.6965896,8.1293925,136.0
